sentence,tokens,tags
Mount Everest is the highest mountain in the world.  ,"['Mount', 'Everest', 'is', 'the', 'highest', 'mountain', 'in', 'the', 'world.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Kilimanjaro offers breathtaking views of Africa.,"['Kilimanjaro', 'offers', 'breathtaking', 'views', 'of', 'Africa.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
The sunrise view from Mount Kilimanjaro is breathtaking.  ,"['The', 'sunrise', 'view', 'from', 'Mount', 'Kilimanjaro', 'is', 'breathtaking.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O']"
Mount Fuji is an iconic symbol of Japan.  ,"['Mount', 'Fuji', 'is', 'an', 'iconic', 'symbol', 'of', 'Japan.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Many climbers dream of scaling Denali in Alaska.  ,"['Many', 'climbers', 'dream', 'of', 'scaling', 'Denali', 'in', 'Alaska.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O']"
"K2, also known as Mount Godwin-Austen, is one of the most challenging peaks.","['K2,', 'also', 'known', 'as', 'Mount', 'Godwin-Austen,', 'is', 'one', 'of', 'the', 'most', 'challenging', 'peaks.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Aoraki / Mount Cook is the tallest mountain in New Zealand.  ,"['Aoraki', '/', 'Mount', 'Cook', 'is', 'the', 'tallest', 'mountain', 'in', 'New', 'Zealand.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Elbrus is the highest peak in Europe.  ,"['Mount', 'Elbrus', 'is', 'the', 'highest', 'peak', 'in', 'Europe.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Climbing Vinson in Antarctica is a rare adventure.  ,"['Climbing', 'Vinson', 'in', 'Antarctica', 'is', 'a', 'rare', 'adventure.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Rainier towers over the skyline of Seattle.  ,"['Mount', 'Rainier', 'towers', 'over', 'the', 'skyline', 'of', 'Seattle.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Mont Blanc is the highest mountain in the Alps.  ,"['Mont', 'Blanc', 'is', 'the', 'highest', 'mountain', 'in', 'the', 'Alps.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Kosciuszko is Australia's tallest mountain.  ,"['Mount', 'Kosciuszko', 'is', ""Australia's"", 'tallest', 'mountain.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']"
Mount McKinley was renamed Denali in 2015.  ,"['Mount', 'McKinley', 'was', 'renamed', 'Denali', 'in', '2015.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O']"
The Matterhorn is a famous mountain in the Swiss Alps.  ,"['The', 'Matterhorn', 'is', 'a', 'famous', 'mountain', 'in', 'the', 'Swiss', 'Alps.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Whitney is the tallest peak in the contiguous United States.  ,"['Mount', 'Whitney', 'is', 'the', 'tallest', 'peak', 'in', 'the', 'contiguous', 'United', 'States.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Shasta in California is a dormant volcano.  ,"['Mount', 'Shasta', 'in', 'California', 'is', 'a', 'dormant', 'volcano.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount St. Helens erupted dramatically in 1980.  ,"['Mount', 'St.', 'Helens', 'erupted', 'dramatically', 'in', '1980.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']"
Climbing Mount Aconcagua is a major goal for mountaineers.  ,"['Climbing', 'Mount', 'Aconcagua', 'is', 'a', 'major', 'goal', 'for', 'mountaineers.']","['O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Olympus is the legendary home of the Greek gods.  ,"['Mount', 'Olympus', 'is', 'the', 'legendary', 'home', 'of', 'the', 'Greek', 'gods.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
